20
0,1,3
0,4,2
0,9,5
1,0,3
1,2,4
1,3,1
1,11,6
2,0,7
2,1,4
2,4,3
2,3,2
2,11,5
2,12,8
3,1,1
3,11,3
4,3,2
4,8,4
5,0,6
5,3,3
5,4,1
5,11,7
6,3,5
6,5,2
6,11,4
6,12,3
7,3,8
7,5,3
7,12,2
7,13,4
8,3,6
8,6,3
8,10,2
8,11,5
8,15,1
9,3,4
9,7,2
9,11,6
10,8,2
10,11,3
10,13,5
10,15,4
11,0,6
11,2,5
11,3,1
11,10,3
12,3,7
12,4,2
12,10,4
13,0,5
13,3,3
13,11,2
13,12,4
13,19,6
14,3,8
14,12,3
14,13,2
15,3,4
15,11,3
15,12,5
16,3,6
16,11,2
16,15,3
17,3,5
17,5,4
17,7,2
17,11,3
17,19,7
18,3,4
18,11,6
18,16,2
18,17,3
19,1,5
19,3,2
19,17,3
